Asset,Url,Group,SubGroup,PrintFile,Name,Address,Season,Episode,Latitude,Longitude,CoordSource,Anitabi
011.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/011.jpg,2_花園会館·妙心寺,花園会館,花園会館/002_花園会館.png,花園会館,京都府 京都市 右京区 妙心寺道,S2,4,35.021210,135.721344,anitabi,https://anitabi.cn/map/3774?id=s9opz00m8
012.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/012.jpg,2_花園会館·妙心寺,花園会館,花園会館/003_花園会館.png,花園会館,京都府 京都市 右京区 妙心寺道,S2,4,35.020990,135.721648,手动补帧·沿用同子组点位（无独立坐标）,https://anitabi.cn/map/3774?id=s9opocm8q
013.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/013.jpg,2_花園会館·妙心寺,花園会館,花園会館/004_花園会館.png,花園会館,京都府 京都市 右京区 妙心寺道,S2,4,35.020990,135.721648,手动补帧·沿用同子组点位（无独立坐标）,https://anitabi.cn/map/3774?id=s9opocm8q
014.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/014.jpg,3_新京極華舞台·新京極商店街,轻音少女 二期,001_全家.png,全家,京都府 京都市 中京区 新京極通,S2,13,35.005816,135.767170,anitabi,https://anitabi.cn/map/3774?id=s9odsmwhx
015.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/015.jpg,3_新京極華舞台·新京極商店街,MOVIX京都,MOVIX京都/001_MOVIX京都.png,MOVIX京都,京都府 京都市 中京区 新京極通,S2,,35.008235,135.767518,anitabi,https://anitabi.cn/map/3774?id=s9oauldxe
016.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/016.jpg,3_新京極華舞台·新京極商店街,MOVIX京都,MOVIX京都/002_MOVIX京都.png,MOVIX京都,京都府 京都市 中京区 新京極通,S2,,35.008237,135.767448,anitabi,https://anitabi.cn/map/3774?id=s9ob576y0
017.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/017.jpg,3_新京極華舞台·新京極商店街,京都市​役所,京都市​役所/001_京都市​役所.png,京都市​役所,京都府 京都市 中京区,S2,,35.011076,135.768131,anitabi,https://anitabi.cn/map/3774?id=s9oo8cks1
018.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/018.jpg,3_新京極華舞台·新京極商店街,京都市​役所,京都市​役所/002_京都市​役所.png,京都市​役所,京都府 京都市 中京区,S2,,35.011219,135.768352,anitabi,https://anitabi.cn/map/3774?id=s9oofh36c
019.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/019.jpg,3_新京極華舞台·新京極商店街,京都市​役所,京都市​役所/003_京都市​役所.png,京都市​役所,京都府 京都市 中京区,S2,,35.011340,135.768445,anitabi,https://anitabi.cn/map/3774?id=s9onjrljv
020.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/020.jpg,3_新京極華舞台·新京極商店街,新京極商店街,新京極商店街/006_新京極商店街.png,新京極商店街,京都府 京都市 下京区 四条通,S1,2,35.003692,135.767186,anitabi,https://anitabi.cn/map/1424?id=s9sdli13j
021.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/021.jpg,3_新京極華舞台·新京極商店街,新京極商店街,新京極商店街/007_新京極商店街.png,新京極商店街,京都府 京都市 下京区 寺町通,S1,2,35.003788,135.766845,anitabi,https://anitabi.cn/map/1424?id=s9sdg3sd6
022.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/022.jpg,3_新京極華舞台·新京極商店街,新京極商店街,新京極商店街/008_新京極商店街.png,新京極商店街,京都府 京都市 下京区 寺町通,S1,2,35.003781,135.766809,anitabi,https://anitabi.cn/map/1424?id=s9sdusecv
023.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/023.jpg,3_新京極華舞台·新京極商店街,新京極商店街,新京極商店街/009_新京極商店街.png,新京極商店街,京都府 京都市 下京区 寺町通,S1,2,35.003754,135.766798,anitabi,https://anitabi.cn/map/1424?id=s9sd540bs
024.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/024.jpg,3_新京極華舞台·新京極商店街,新京極華舞台,新京極華舞台/001_新京極華舞台.png,新京極華舞台,京都府 京都市 中京区 新京極通,S2,,35.007330,135.767267,anitabi,https://anitabi.cn/map/3774?id=s9od25ti1
025.jpg,https://cdn.jsdelivr.net/gh/hajisensai/kon-pilgrimage-images@main/print_frames/025.jpg,3_新京極華舞台·新京極商店街,新京極華舞台,新京極華舞台/003_新京極華舞台.png,新京極華舞台,京都府 京都市 中京区 新京極通,S2,,35.007335,135.767212,anitabi,https://anitabi.cn/map/3774?id=s9oddy226
